Subgroup,Reporting < 2 yrs,Summary results < 1 yr,Any results reporting
Denmark,"568/1019, 55.7% (95%CI 52.7-58.8%)","23/1019, 2.3% (95%CI 1.5-3.4%)","828/1019, 81.3% (95%CI 78.7-83.5%)"
Finland,"118/231, 51.1% (95%CI 44.7-57.5%)","5/231, 2.2% (95%CI 0.9-5%)","172/231, 74.5% (95%CI 68.5-79.7%)"
Iceland,"4/10, 40% (95%CI 16.8-68.7%)","0/10, 0% (95%CI 0-27.8%)","8/10, 80% (95%CI 49-94.3%)"
Norway,"151/328, 46% (95%CI 40.7-51.4%)","1/328, 0.3% (95%CI 0.1-1.7%)","236/328, 72% (95%CI 66.9-76.5%)"
Sweden,"257/525, 49% (95%CI 44.7-53.2%)","13/525, 2.5% (95%CI 1.5-4.2%)","398/525, 75.8% (95%CI 72-79.3%)"
Medicinal product,"1098/2113, 52% (95%CI 49.8-54.1%)","42/2113, 2% (95%CI 1.5-2.7%)","1642/2113, 77.7% (95%CI 75.9-79.4%)"
Not medicinal product,"714/1438, 49.7% (95%CI 47.1-52.2%)","10/1438, 0.7% (95%CI 0.4-1.3%)","1092/1438, 75.9% (95%CI 73.7-78.1%)"
Multi-center,"285/526, 54.2% (95%CI 49.9-58.4%)","10/526, 1.9% (95%CI 1-3.5%)","430/526, 81.7% (95%CI 78.2-84.8%)"
Single-center,"813/1587, 51.2% (95%CI 48.8-53.7%)","32/1587, 2% (95%CI 1.4-2.8%)","1212/1587, 76.4% (95%CI 74.2-78.4%)"
Industry or mixed,"74/158, 46.8% (95%CI 39.2-54.6%)","3/158, 1.9% (95%CI 0.6-5.4%)","114/158, 72.2% (95%CI 64.7-78.6%)"
Only non-industry,"1024/1955, 52.4% (95%CI 50.2-54.6%)","39/1955, 2% (95%CI 1.5-2.7%)","1528/1955, 78.2% (95%CI 76.3-79.9%)"
1-30,"334/705, 47.4% (95%CI 43.7-51.1%)","22/705, 3.1% (95%CI 2.1-4.7%)","516/705, 73.2% (95%CI 69.8-76.3%)"
31-96,"361/706, 51.1% (95%CI 47.4-54.8%)","9/706, 1.3% (95%CI 0.7-2.4%)","542/706, 76.8% (95%CI 73.5-79.7%)"
"97-150,000","403/701, 57.5% (95%CI 53.8-61.1%)","11/701, 1.6% (95%CI 0.9-2.8%)","584/701, 83.3% (95%CI 80.4-85.9%)"
